Nº do cliente;Safra;Estado;Renda Mensal;Endividamento;Quantidade de Cheques sem Fundo;Quantidade de Restritivos;Valor dos Restritivos;Quantidade de Protestos;Valor dos Protestos;Modelo Score 1;Modelo Score 2;Modelo Score 3;Modelo Score 4;Performance 30D3M EVER;Performance 60D6M EVER;Performance 60D9M EVER;Performance 90D9M EVER;Performance 90D12M EVER
1002939333;2020-09-01 00:00:00 UTC;GO;2518;Acima de 100%;0;6;22425;0;0;127;246;297;684;BOM;BOM;BOM;BOM;
163339755;2020-06-01 00:00:00 UTC;SP;3375;Até 25%;0;0;0;0;0;911;695;853;862;BOM;BOM;BOM;BOM;BOM
955442403;2020-05-01 00:00:00 UTC;SP;3365;Até 25%;0;0;0;0;0;519;673;535;727;BOM;BOM;BOM;BOM;BOM
438091227;2020-10-01 00:00:00 UTC;RJ;1504;Até 25%;0;0;0;0;0;681;671;701;661;BOM;BOM;;;
666929000;2020-08-01 00:00:00 UTC;SC;2393;Até 25%;0;0;0;0;0;583;658;561;753;BOM;BOM;BOM;BOM;
1139827921;2020-10-01 00:00:00 UTC;MS;3492;Até 25%;0;0;0;0;0;638;674;506;1;BOM;BOM;;;
891747802;2020-10-01 00:00:00 UTC;SC;3492;Até 25%;0;0;0;0;0;529;644;474;734;MAU;BOM;;;
560852523;2020-09-01 00:00:00 UTC;TO;4551;Até 25%;0;0;0;0;0;964;750;807;901;BOM;BOM;BOM;BOM;
166262643;2020-07-01 00:00:00 UTC;MS;3366;Acima de 100%;0;4;9686;0;0;44;236;180;478;BOM;MAU;MAU;MAU;
96113331;2020-08-01 00:00:00 UTC;SC;3366;Até 25%;0;0;0;0;0;600;642;571;719;BOM;BOM;BOM;BOM;
533937596;2020-08-01 00:00:00 UTC;BA;3492;Até 25%;0;0;0;0;0;408;585;259;582;BOM;BOM;BOM;BOM;
154327517;2020-08-01 00:00:00 UTC;BA;2215;Até 25%;0;0;0;0;0;829;666;795;807;BOM;BOM;BOM;BOM;
1097811406;2020-07-01 00:00:00 UTC;SP;1658;Até 25%;0;0;0;2;1920;207;622;246;637;BOM;BOM;BOM;BOM;
1020598448;2020-07-01 00:00:00 UTC;MS;3304;Até 25%;0;0;0;0;0;810;628;817;835;MAU;MAU;MAU;MAU;
1139462560;2020-06-01 00:00:00 UTC;PR;2393;Até 25%;0;0;0;0;0;440;599;375;821;BOM;BOM;BOM;BOM;BOM
523220340;2020-05-01 00:00:00 UTC;SC;3492;Acima de 100%;0;6;2541;0;0;2;225;196;609;BOM;BOM;BOM;BOM;BOM
1057865270;2020-05-01 00:00:00 UTC;GO;1489;Até 25%;0;0;0;0;0;441;614;416;595;BOM;BOM;BOM;BOM;BOM
33393026;2020-05-01 00:00:00 UTC;SP;3366;Até 25%;0;0;0;0;0;530;625;532;714;BOM;BOM;BOM;BOM;BOM
89049685;2020-05-01 00:00:00 UTC;GO;1317;Até 25%;0;1;400;0;0;201;242;235;534;BOM;BOM;BOM;BOM;BOM
